第25週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
2025-06-16 00:00:00,投過,A,RMA125030020,AG-M9046-60110,M9046-60110,2025-06-20 00:00:00,,1,1,,,30,,,,0,30,AG-M9046-60,CE
2025-06-16 00:00:00,投過,A,RMA125050004,AG-M9046-60110,M9046-60110,2025-06-20 00:00:00,,1,1,,,30,,,,,30,AG-M9046-60,CE
2025-06-16 00:00:00,投過,A,93E125050389,93-F0128-002E,ADi-SA3X-AD-Everi,2025-07-25 00:00:00,00:00:00,22,4,18,0,28,,,"上午優先生產,PE告知免驗",0,112,93-F0128-00,
2025-06-16 00:00:00,投過,A,93E125060323,IPC-3100U-0002,RK500WL-M46_I0002,2025-06-24 00:00:00,2025-06-13 00:00:00,30,30,21,4,54,,,,120,1620,IPC-3100U-0,
2025-06-16 00:00:00,投過,A,93E125060454,93-F0126-000E,Victoria 5G Gateway,2025-07-02 00:00:00,2025-06-14 00:00:00,10,10,27,30,48,,,,300,480,93-F0126-00,
2025-06-16 00:00:00,投過,A,93E125060455,93-F0126-000E,Victoria 5G Gateway,2025-06-23 00:00:00,2025-06-14 00:00:00,8,8,27,30,48,,,,240,384,93-F0126-00,
2025-06-16 00:00:00,投過,E,93E125070108,93-P1400-220E,"SP2-10WP-EHL-J6412,8GB,12V, w/IO & cover",2025-06-24 00:00:00,2025-06-13 00:00:00,1,1,18,8,17,,,,8,17,93-P1400-22,CE
2025-06-16 00:00:00,投過,A,93E125050203,93-98002-111E,ADi-SA3X-CL-EABF/AGS,2025-06-25 00:00:00,2025-06-12 00:00:00,100,70,27,12,25,,,,840,1750,93-98002-11,CE
2025-06-16 00:00:00,投過,A,93N125060177,93-SH201-1020,Image System PC Sku8 11514001,2025-07-15 00:00:00,2025-06-13 00:00:00,99,44,27,27.6,35.5,,,,1214.4,1562,93-SH201-10,CE
2025-06-16 00:00:00,投過,A,93E125050286,93-98002-111E,ADi-SA3X-CL-EABF/AGS,2025-06-30 00:00:00,2025-06-23 00:00:00,43,43,27,12,,,,,516,0,93-98002-11,CE
2025-06-16 00:00:00,投過,A,RMA125060015,AG-M9019-66101,M9019-66101,2025-06-20 00:00:00,,1,1,,,30,,,,0,30,AG-M9019-66,CE
2025-06-16 00:00:00,投過,A,93N125080003,AG-N5511-60110,N5511-60110,2025-07-10 00:00:00,2025-06-13 00:00:00,5,5,21,90,82.6,,,,450,413,AG-N5511-60,CE
6/16  (一) 加工4 主線13  (7820)  測試支援2人,,,,,,,,,,195,,,,10311.4,當日總工時,3688.4,6428,,
,,,,,,,,,,123,,,,10196.9,IPC,3675.4,6398.5,,
,,,,,,,,,預計生產,72,,,,114.5,IDS,13,29.5,,
,,,,,,,,,218,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-06-17 00:00:00,投過,A,93E125050391,IPC-3100Y-0004,RK500WL-C47H_I0004,2025-06-23 00:00:00,2025-06-16 00:00:00,3,3,21,4,54,,,,12,162,IPC-3100Y-0,
2025-06-17 00:00:00,投過,A,93E125050286,93-98002-111E,ADi-SA3X-CL-EABF/AGS,2025-06-30 00:00:00,2025-06-23 00:00:00,43,2,,,25,,,,0,50,93-98002-11,CE
2025-06-17 00:00:00,投過,A,93N125050486,93-F0093-0030,Zoetis Vetscan HUB-US,2025-06-26 00:00:00,2025-06-16 00:00:00,245,50,21,25,35,,,,1250,1750,93-F0093-00,CE
2025-06-17 00:00:00,投過,A,93E125060066,93-F0067-202E,Seatex ISP2020,2025-06-26 00:00:00,2025-06-16 00:00:00,60,20,24,8,53,,,,160,1060,93-F0067-20,CE
2025-06-17 00:00:00,投過,A,93N125060032,AG-M9019A-CFG001A5,M9019A_A5,2025-07-22 00:00:00,2025-06-16 00:00:00,50,20,27,75,76.3,,,,1500,1526,AG-M9019A-C,CE
2025-06-17 00:00:00,投過,A,93N125050486,93-F0093-0030,Zoetis Vetscan HUB-US,2025-06-26 00:00:00,2025-06-16 00:00:00,245,45,,25,,,,,1125,0,93-F0093-00,CE
2025-06-17 00:00:00,,A,RMA125060018,AG-M9046-60110,M9046-60110,2025-06-20 00:00:00,,1,1,,,30,,,,0,30,AG-M9046-60,CE
6/17 (二) 加工4 主線12  (7360) 測試支援1人,,,,,,,,,,93,,,,8718,當日總工時,4047,4578,,
,,,,,,,,,,93,,,,8718,IPC,4047,4578,,
,,,,,,,,,預計生產,0,,,,0,IDS,0,0,,
,,,,,,,,,141,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-06-18 00:00:00,投過,A,93E125050340,IPC-1280S-0000,RK620B-M47_I0000,2025-06-23 00:00:00,2025-06-17 00:00:00,4,4,21,4,54,,,"Sunny至現場拍照,CPU Board及其他料,10點後再組",16,216,IPC-1280S-0,
2025-06-18 00:00:00,投過,A,93E125050327,93-DN000-D10E,MLB-3102-i7-12700E/M16GB/256GB/A1000,2025-06-23 00:00:00,2025-06-17 00:00:00,2,2,27,20,63,,,,40,126,93-DN000-D1,CE
2025-06-18 00:00:00,投過,A,93N125060177,93-SH201-1020,Image System PC Sku8 11514001,2025-07-15 00:00:00,2025-06-13 00:00:00,99,22,27,27.6,35.5,,,,607.2,781,93-SH201-10,CE
2025-06-18 00:00:00,投過,A,93N125060032,AG-M9019A-CFG001A5,M9019A_A5,2025-07-22 00:00:00,2025-06-16 00:00:00,50,20,27,75,76.3,,,,1500,1526,AG-M9019A-C,CE
2025-06-18 00:00:00,投過,A,93N125050486,93-F0093-0030,Zoetis Vetscan HUB-US,2025-06-26 00:00:00,2025-06-16 00:00:00,245,45,,,35,,,,0,1575,93-F0093-00,CE
2025-06-18 00:00:00,投過,A,93N125050486,93-F0093-0030,Zoetis Vetscan HUB-US,2025-06-26 00:00:00,2025-06-16 00:00:00,245,50,,25,,,,,1250,0,93-F0093-00,CE
2025-06-18 00:00:00,投過,A,93N125060375,93-F0089-2020,EMP-300-CQ (6305E),2025-07-01 00:00:00,2025-06-17 00:00:00,120,60,21,7,21,,,,420,1260,93-F0089-20,CE
2025-06-18 00:00:00,投過,E,93N125040611,93-P6000-E020,OM-170,2025-06-23 00:00:00,2025-06-04 00:00:00,2,1,18,5,12.5,線外+組裝++,,1+N,5,12.5,93-P6000-E0,
2025-06-18 00:00:00,投過,A,93E125050401,IPC-1170Y-0000,RK620W-C47H_I0000,2025-06-26 00:00:00,2025-06-18 00:00:00,2,2,21,4,54,,,,8,108,IPC-1170Y-0,
2025-06-18 00:00:00,投過,A,93E125060441,T93-13010-0300057,T93-13010-0300057,2025-06-24 00:00:00,2025-06-17 00:00:00,16,16,21,4,54,,,,64,864,T93-13010-0,
2025-06-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,
6/18 (三) 加工4 主線12  (7360) 測試支援1人,,,,,,,,,,162,,,,10540.7,當日總工時,3910.2,6468.5,,16.469843750000003
,,,,,,,,,,162,,,,10535.7,IPC,3905.2,6468.5,,
,,,,,,,,,預計生產,0,,,,5,IDS,5,0,,
,,,,,,,,,222,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-06-19 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-06-19 00:00:00,投過,A,93N125060472,93-45103-0320,DLAP-211-Orin NX 8GB,2025-06-24 00:00:00,2025-06-11 00:00:00,7,7,21,5,20,,,,35,140,93-45103-03,CE
2025-06-19 00:00:00,投過,A,93N125060427,93-45R03-1210,"ROScube-X, w/ AD-GMSL2, RQX-59G, 64GB",2025-06-23 00:00:00,2025-06-17 00:00:00,2,2,21,10,15,,,,20,30,93-45R03-12,
2025-06-19 00:00:00,投過,A,93E125060272,93-D2102-020E,"MLC-M109, Biomedica",2025-06-24 00:00:00,2025-06-13 00:00:00,30,30,21,4.9,27.6,,,,147,828,93-D2102-02,CE
2025-06-19 00:00:00,投過,A,93N125060375,93-F0089-2020,EMP-300-CQ (6305E),2025-07-01 00:00:00,2025-06-17 00:00:00,120,60,21,7,21,,,,420,1260,93-F0089-20,CE
,2,A,93E125030312,93-F0091-204E,Capsule Axon 2 – 4-port wired,2025-07-01 00:00:00,2025-03-13 00:00:00,180,116,,,9,,,未測WIP,0,1044,93-F0091-20,
2025-06-19 00:00:00,2,,93R125030159,93-F0091-204E,Capsule Axon 2 – 4-port wired,1900-01-04 00:00:00,,4,4,,,9,,,未測WIP(Fail重測)93E125030312,,,,
2025-06-19 00:00:00,1,A,93R125040056,93-F0092-004E,Capsule Axon 2 – 8-port,2025-06-30 00:00:00,2025-06-12 00:00:00,100,100,,,10,,,,0,1000,93-F0092-00,
2025-06-19 00:00:00,1,,93R125030162,93-F0092-004E,Capsule Axon 2 – 8-port,1900-02-04 00:00:00,,35,35,,,11,,,未測WIP(Fail重測)93E125030032,,385,,
2025-06-19 00:00:00,投過,A,93N125050486,93-F0093-0030,Zoetis Vetscan HUB-US,2025-06-26 00:00:00,2025-06-16 00:00:00,245,50,,,35,,,,0,1750,93-F0093-00,CE
,投過,E,93E125070061,93-P1300-230E,"SP2-10WP-TGL-i7,8GB,9-36V,IO,CT,Win10",2025-07-03 00:00:00,2025-06-13 00:00:00,1,1,18,,,,,1+N,0,0,93-P1300-23,
,投過,E,93E125050061,93-P5300-600E,"Titan2-15WP-TGL-i5,8G,128GB,CT",2025-09-25 00:00:00,2025-07-04 00:00:00,5,1,18,,,高亮+TP-封邊/固化-ASSY,,,0,0,93-P5300-60,
2025-06-19 00:00:00,投過,A,93N125060177,93-SH201-1020,Image System PC Sku8 11514001,2025-07-15 00:00:00,2025-06-13 00:00:00,99,32,27,27.6,35.5,,,58-99574-0020缺1,883.2,1136,93-SH201-10,CE
2025-06-19 00:00:00,投過,A,93N125060032,AG-M9019A-CFG001A5,M9019A_A5,2025-07-22 00:00:00,2025-06-16 00:00:00,50,5,,75,76.3,,,,375,381.5,AG-M9019A-C,CE
2025-06-19 00:00:00,投過,A,93E125050388,IPC-003N5-R001,RK609W-9E5-E43_IR001,2025-06-25 00:00:00,2025-06-18 00:00:00,1,1,21,4,54,,,,4,54,IPC-003N5-R,CE
2025-06-19 00:00:00,投過,A,93E125050406,IPC-003N5-R001,RK609W-9E5-E43_IR001,2025-06-25 00:00:00,2025-06-18 00:00:00,1,1,21,4,54,,,,4,54,IPC-003N5-R,CE
2025-06-19 00:00:00,投過,A,93E125050392,IPC-3100X-0000,RK500WL-C47_I0000,2025-06-25 00:00:00,2025-06-18 00:00:00,3,3,21,4,54,,,,12,162,IPC-3100X-0,
2025-06-19 00:00:00,投過,A,93E125030047,SRP-04001-0040,DCS-6402AT,2025-06-24 00:00:00,00:00:00,15,2,24,13,48,,,56-47129-0010-A0*2不良,26,96,SRP-04001-0,CE
2025-06-19 00:00:00,投過,A,93E125030078,SRP-04001-0040,DCS-6402AT,2025-07-14 00:00:00,2025-06-18 00:00:00,5,5,24,13,48,,,,65,240,SRP-04001-0,CE
2025-06-19 00:00:00,投過,A,93E125050350,TPC-41053-0220,TPC-41053-0220(MVP-6225T),2025-06-25 00:00:00,2025-06-18 00:00:00,6,6,18,0,30,,,,0,180,TPC-41053-0,
,,A,,,,,,,,,,,,,,0,0,,
6/19 (四)     加工4 主線12  (7360) 測試支援1人,,,,,,,,,,276,,,,11007.7,當日總工時,1991.2,8740.5,,17.19953125
,,,,,,,,,,,,,,,IPC,,,,
,,,,,,,,,預計生產,,,,,,IDS,,,,
,,,,,,,,,461,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-06-20 00:00:00,投過,A,RMA125060014,AG-M9046-60110,M9046-60110,2025-06-25 00:00:00,,2,2,,,30,,,,0,60,AG-M9046-60,CE
2025-06-20 00:00:00,投過,A,93N125070279,93-51048-5040,NEON-202A-JNX,2025-06-25 00:00:00,2025-06-19 00:00:00,5,5,21,5,12,,,,25,60,93-51048-50,
2025-06-20 00:00:00,投過,A,93N125060333,93-45R03-1110,"ROScube-X, w/AD-GMSL2, RQX-59G",2025-07-15 00:00:00,2025-06-17 00:00:00,5,5,21,10,15,,,,50,75,93-45R03-11,
,1,A,93E125030032,93-F0092-004E,Capsule Axon 2 – 8-port,2025-07-03 00:00:00,2025-03-10 00:00:00,320,185,,,3,,,已測WIP,0,555,93-F0092-00,
2025-06-20 00:00:00,2,A,93R125040057,93-F0091-204E,Capsule Axon 2 – 4-port wired,2025-07-01 00:00:00,2025-06-12 00:00:00,60,60,,,5,,,,0,300,93-F0091-20,
2025-06-20 00:00:00,4,A,93R125030160,93-F0091-004E,Capsule Axon 2 – 1-port,,,44,44,,,9,,,未測WIP(Fail重測)93E125030030,0,396,,
2025-06-20 00:00:00,3,A,93R125030161,93-F0091-104E,Capsule Axon 2 – 4-port,,,40,40,,,9,,,未測WIP(Fail重測)93E125030008,,360,,
,3,A,93E125020047,93-F0091-104E,Capsule Axon 2 – 4-port,2025-07-28 00:00:00,2025-07-07 00:00:00,900,15,,,3,,,未測WIP,,45,,
2025-06-20 00:00:00,投過,A,93N125050370,93-70431-A020,PXES-2785,2025-06-24 00:00:00,2025-06-11 00:00:00,20,20,,,60,,,,0,1200,93-70431-A0,CE
2025-06-20 00:00:00,投過,A,93N125050441,93-70431-A020,PXES-2785,2025-06-25 00:00:00,2025-06-13 00:00:00,15,15,,,60,,,優先生產,0,900,93-70431-A0,CE
