第7週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,,
2025-02-10 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-10 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-10 00:00:00,,E,93E125010053,93-F0116-100E,GM-270SG/KGI,2025-02-19 00:00:00,2025-01-21 00:00:00,400,50,,,30,TP-ASSY,,,0,1500,93-F0116-10,,
2025-02-10 00:00:00,,E,93E125010053,93-F0116-100E,GM-270SG/KGI,2025-02-19 00:00:00,2025-01-21 00:00:00,400,50,27,22,,TP-ASSY,,,1100,0,93-F0116-10,,
2025-02-10 00:00:00,,A,93N125020380,93-41055-2010,MXE-231/M16G/256G/EVERI,2025-02-19 00:00:00,2025-02-06 00:00:00,190,50,18,0,16.2,,,,0,810,93-41055-20,,
2025-02-10 00:00:00,,A,93N125030013,93-41052-7A20,MVP-5205E-EVERI-160W,2025-02-14 00:00:00,2025-02-03 00:00:00,100,70,21,4.3,26,,,,301,1820,93-41052-7A,,
2025-02-10 00:00:00,,D,93E124090479,93-99B00-934E,I-AADP-128-BCM 4x10G,2025-02-18 00:00:00,2025-02-03 00:00:00,5,4,18,0,6,,,,0,24,93-99B00-93,,
2025-02-10 00:00:00,,A,93E125010296,93-F0013-108E,Redflex Universal HALO PC,2025-02-18 00:00:00,2025-01-22 00:00:00,148,30,21,5,63.8,,,,150,1914,93-F0013-10,,缺85-66932-000C*1 數量改22->21
2025-02-10 00:00:00,,A,93E125020235,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2025-02-20 00:00:00,2025-02-06 00:00:00,52,21,,,126,,,,0,2646,93-F0019-10,,
2025-02-10 00:00:00,,A,93E124120350,TPC-41045-0420,TPC-41045-0420(MVP-5102),2025-02-14 00:00:00,2025-02-04 00:00:00,10,10,18,0,30,,,,0,300,TPC-41045-0,,
2025-02-10 00:00:00,投過,A,93N125020384,93-45108-3020,DLAP-411-Orin 64GB,2025-02-13 00:00:00,2025-02-07 00:00:00,5,5,21,4,20,,,,20,100,93-45108-30,,
2025-02-10 00:00:00,,D,RMA125010006,AG-M9010-66101,M9010-66101,2025-02-13 00:00:00,,1,1,27,,30,,,,0,30,AG-M9010-66,,
2025-02-10 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-10 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-10 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-10 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2/10  (一)   加工4 主線14  (11520) ,,,,,,,,,,171,,,,10886,當日總工時,1571,9144,,17.009375,
,,,,,,,,,,144,,,,8259,IPC,471,7644,,,
,,,,,,,,,預計生產,27,,,,2627,IDS,1100,1500,,,
,,,,,,,,,291,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-02-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-11 00:00:00,未投過,A,93E125020090,93-45200-C60E,DLAP-3201-CFP12/M64G/4TB/10G/A4500/240W,2025-02-13 00:00:00,2025-02-06 00:00:00,2,2,27,18,,,,,36,0,93-45200-C6,,
2025-02-11 00:00:00,投過,E,93E125020160,93-P6000-821E,OM-185-VT,2025-02-13 00:00:00,2025-02-10 00:00:00,5,5,27,7,15,,,,35,75,93-P6000-82,,
2025-02-11 00:00:00,投過,A,93N125030013,93-41052-7A20,MVP-5205E-EVERI-160W,2025-02-14 00:00:00,2025-02-03 00:00:00,100,30,21,4.3,26,,,,129,780,93-41052-7A,,
2025-02-11 00:00:00,未投過,A,93E125030054,93-41053-3A1E,MVP-6247/EM16G/MS2TB/3xS256G/Win10,2025-02-14 00:00:00,2025-02-10 00:00:00,6,6,24,8,36,,,,48,216,93-41053-3A,,
2025-02-11 00:00:00,投過,A,93N124100626,93-F0114-0020,Verint Edge NVR w/24 ports,2025-02-14 00:00:00,2025-02-10 00:00:00,150,150,18,0,32.95,,,,0,4942.5,93-F0114-00,,
2025-02-11 00:00:00,投過,A,93E125010296,93-F0013-108E,Redflex Universal HALO PC,2025-02-18 00:00:00,2025-01-22 00:00:00,148,10,21,5,63.8,,,SMT被拉回一人,50,638,93-F0013-10,,
2025-02-11 00:00:00,投過,A,93N124110006,AG-N5511-60110,N5511-60110,2025-02-14 00:00:00,2025-02-10 00:00:00,5,2,21,,82.6,,,,0,165.2,AG-N5511-60,,
2025-02-11 00:00:00,投過,A,93N125030014,AG-M9010A-CFG001,M9010A,2025-02-17 00:00:00,2025-02-10 00:00:00,20,10,27,75,80,,,,750,800,AG-M9010A-C,,
2025-02-11 00:00:00,投過,E,93E125010053,93-F0116-100E,GM-270SG/KGI,2025-02-19 00:00:00,2025-01-21 00:00:00,400,50,,,30,TP-ASSY,,,0,1500,93-F0116-10,,
2025-02-11 00:00:00,投過,E,93E125010053,93-F0116-100E,GM-270SG/KGI,2025-02-19 00:00:00,2025-01-21 00:00:00,400,50,27,22,,TP-ASSY,,,1100,0,93-F0116-10,,
2025-02-11 00:00:00,投過,A,93N125020091,AG-M9019-66101,M9019-66101,2025-02-19 00:00:00,2025-02-10 00:00:00,5,5,27,75,76.3,,,,375,381.5,AG-M9019-66,,
,投過,A,ZTR125020047,93-F0091-104E,Capsule Axon 2 – 4-port,,,3,3,,,30,,,,0,90,93-F0091-10,,
2025-02-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2/11 (二) 加工4 主線15  (12160)  測試支援1人,,,,,,,,,,240,,,,12351.2,當日總工時,2523,9588.2,,19.298750000000002,
,,,,,,,,,,186,,,,9587.2,IPC,1388,8013.200000000001,,,
,,,,,,,,,預計生產,54,,,,2764,IDS,1135,1575,,,
,,,,,,,,,323,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-02-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
