第9週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,,
2025-02-24 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-24 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-24 00:00:00,,A,93R125020022,IPC-1170H-0012,RK620W-M43_I0012,2025-04-28 00:00:00,2025-02-04 00:00:00,21,21,,,54,,,"拆換91-44702-B1*,拆下的入AYN21",0,1134,IPC-1170H-0,,
2025-02-24 00:00:00,,A,93N125020164,93-41045-E840,Dell Embedded Gateway EGW-5200-0MXTMC,2025-03-03 00:00:00,2025-02-20 00:00:00,120,60,30,20.3,28.8,,,,1218,1728,93-41045-E8,,
2025-02-24 00:00:00,,A,93E125020067,93-41052-2A0E,MVP-5209RF/M128G/MS2T/S4T/W11P/230W/HAL,2025-02-27 00:00:00,2025-02-21 00:00:00,6,6,21,6.7,29,,,,40.2,174,93-41052-2A,,
2025-02-24 00:00:00,,A,93E125030024,93-41053-0A0E,MVP-6229RF/M128G/MS2T/S4T/W11P/230W/HAL,2025-02-27 00:00:00,2025-02-21 00:00:00,5,5,24,8,36,,,,40,180,93-41053-0A,,
2025-02-24 00:00:00,,A,93E125030282,93-41055-120E,MXE-231/PIACOM,2025-03-03 00:00:00,2025-02-21 00:00:00,30,30,21,5,20,,,,150,600,93-41055-12,,
2025-02-24 00:00:00,,A,93N125030235,93-45103-0420,DLAP-211-Orin NX 16GB,2025-03-12 00:00:00,2025-02-17 00:00:00,20,20,21,5,20,,,,100,400,93-45103-04,,
2025-02-24 00:00:00,,A,93N125040172,93-70432-0010,PXES-2314T,2025-02-27 00:00:00,2025-02-17 00:00:00,5,5,18,0,30,,,,0,150,93-70432-00,,
2025-02-24 00:00:00,,A,93N125050078,93-70432-0020,PXES-2314T,2025-02-27 00:00:00,2025-02-17 00:00:00,1,1,18,0,30,,,,0,30,93-70432-00,,
2025-02-24 00:00:00,,A,93E124070101,93-G1000-000E,"EMP-100-J6412, 8GB, 128GB, TPM, CT",2025-03-03 00:00:00,2025-02-21 00:00:00,30,30,18,0,6.89,,,,0,206.7,93-G1000-00,,
2025-02-24 00:00:00,,E,93R125020053,93-P1400-B010,"SP2-21WP-EHL-J6412,4GB, w/ IO, 12V",2025-02-26 00:00:00,2025-02-20 00:00:00,3,3,27,7.5,15,,,,22.5,45,93-P1400-B0,,
2025-02-24 00:00:00,,A,RMA125020013,AG-M9018-66201,M9018-66201,1900-01-01 00:00:00,,1,1,27,,30,,,,0,30,AG-M9018-66,,
2025-02-24 00:00:00,,A,RMA125020010,AG-M9019-66101,M9019-66101,2025-02-27 00:00:00,,1,1,27,,30,,,,0,30,AG-M9019-66,,
2025-02-24 00:00:00,,A,RMA125020011,AG-M9505-66102,M9505-66102,2025-03-10 00:00:00,,1,1,18,,30,,,,0,30,AG-M9505-66,,
2025-02-24 00:00:00,,A,RMA125020014,AG-M9505-66102,M9505-66102,1900-01-01 00:00:00,,1,1,18,,30,,,,0,30,AG-M9505-66,,
2025-02-25 00:00:00,,A,93E125010255,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-03-12 00:00:00,2025-02-25 00:00:00,100,25,21,11,,,,,275,0,93-F0093-40,,
2025-02-24 00:00:00,未投過,A,93E125030087,IPC-1170M-0022,RK620W-M45H_I0022,2025-02-27 00:00:00,2025-02-21 00:00:00,10,10,21,4,54,,,PE驗證 優先生產,40,540,IPC-1170M-0,,
2025-02-24 00:00:00,,A,93E125010345,IPC-117N7-U004,RK620W-13E4-E47_IU004,2025-03-10 00:00:00,2025-02-21 00:00:00,5,3,21,4,54,,,,12,162,IPC-117N7-U,,
2025-02-24 00:00:00,,E,93N125030207,93-P6000-B010,OM-215,2025-02-26 00:00:00,2025-02-20 00:00:00,60,10,27,7,15,,,2/26入庫,70,150,93-P6000-B0,,
2025-02-24 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-24 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-24 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2/24  (一)  加工4 主線14  (8280)  ,,,,,,,,,,378,,,,7965.4,當日總工時,1967.7,5619.7,,,
,,,,,,,,,,324,,,,7623.9,IPC,1875.2,5424.7,,,
,,,,,,,,,預計生產,54,,,,341.5,IDS,92.5,195,,,
,,,,,,,,,233,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-02-25 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-25 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-25 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-25 00:00:00,,A,93E125010255,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-03-12 00:00:00,2025-02-25 00:00:00,100,25,,,25.6,,,,0,640,93-F0093-40,,
2025-02-25 00:00:00,,A,93E125010255,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-03-12 00:00:00,2025-02-25 00:00:00,100,25,21,11,25.6,,,,275,640,93-F0093-40,,
2025-02-25 00:00:00,未投過,A,93R125010004,93-D2302-1220,MLC-M303,2025-02-27 00:00:00,2025-02-17 00:00:00,1,1,21,4.9,27.6,,,,4.9,27.6,93-D2302-12,,
2025-02-25 00:00:00,,A,93N125030054,93-D1207-1010,WM200/US,2025-03-10 00:00:00,2025-02-24 00:00:00,64,64,24,12,36,,,,768,2304,93-D1207-10,,
2025-02-25 00:00:00,,A,93E125030069,IPC-100N7-T000,RK410W-13E2-E47_IT000,2025-03-17 00:00:00,2025-02-24 00:00:00,20,20,21,4,54,,,,80,1080,IPC-100N7-T,,
2025-02-25 00:00:00,,A,93E125020315,IPC-0030K-0018,RK609W-M43H_I0018,2025-03-12 00:00:00,2025-02-20 00:00:00,1,1,21,4,54,,,,4,54,IPC-0030K-0,,
,,A,93N125020164,93-41045-E840,Dell Embedded Gateway EGW-5200-0MXTMC,2025-03-03 00:00:00,2025-02-20 00:00:00,120,120,,,10,,,,0,1200,93-41045-E8,,
,,A,93N125020219,93-41045-EF40,Dell Embedded Gateway EGW-5200-0T61RH,2025-03-03 00:00:00,2025-02-20 00:00:00,5,5,,,10,,,,0,50,93-41045-EF,,
2025-02-25 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-25 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2/25 (二) 加工4 主線14  (8280)  ,,,,,,,,,,108,,,,7235.5,當日總工時,1131.9,5995.6,,1044.5,
,,,,,,,,,,108,,,,7235.5,IPC,1131.9,5995.6,,,
,,,,,,,,,預計生產,0,,,,0,IDS,0,0,,,
,,,,,,,,,261,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-02-26 00:00:00,,E,93R125020063,93-P7000-B51E,IM-215D,2025-03-07 00:00:00,2025-02-13 00:00:00,6,6,27,7.5,18,,,,45,108,93-P7000-B5,,
2025-02-26 00:00:00,,A,93E125010255,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-03-12 00:00:00,2025-02-25 00:00:00,100,50,21,11,25.6,,,,550,1280,93-F0093-40,,
2025-02-26 00:00:00,,E,93N125030207,93-P6000-B010,OM-215,2025-02-26 00:00:00,2025-02-20 00:00:00,60,50,27,7,15,,,,350,750,93-P6000-B0,,
2025-02-26 00:00:00,,E,93N125020293,93-P2100-6A10,STC2-15WP-E3950-AL,2025-03-17 00:00:00,2025-02-17 00:00:00,1,1,27,7.5,15,,,,7.5,15,93-P2100-6A,,
2025-02-26 00:00:00,,E,93N125010514,93-P6000-B310,"OM-215 W/adapter,HDMI,USB,Clips,NZ cord",2025-03-04 00:00:00,2025-02-20 00:00:00,1,1,27,7,15,,,,7,15,93-P6000-B3,,
2025-02-26 00:00:00,,A,93N125020207,93-F0074-0020,G42 Eagle PC/Data Modul,2025-03-12 00:00:00,2025-02-25 00:00:00,52,52,24,15,42,,,,780,2184,93-F0074-00,,
2025-02-26 00:00:00,,A,93E125040133,93-45103-450E,DLAP-211-Orin NXS 16GB w/ SSD512GB,2025-03-07 00:00:00,2025-02-18 00:00:00,5,1,21,5,20,,,1+N,5,20,93-45103-45,,
2025-02-26 00:00:00,,A,93R125020100,IPC-100N5-U022,RK410W-13E4-E43_IU022,2025-03-03 00:00:00,2025-02-21 00:00:00,4,4,21,4,54,,,,16,216,IPC-100N5-U,,
2/26 (三)  加工4 主線14  (8280)  ,,,,,,,,,,189,,,,6552.9,當日總工時,,,,1727.1000000000004,
,,,,,,,,,,108,,,,5196.9,IPC,,,,,
,,,,,,,,,預計生產,252,,,,7080,IDS,3052.5,3775.5,,,
,,,,,,,,,165,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-02-27 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-27 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-27 00:00:00,,A,93E125030152,93-41053-103E,MVP-6249/M64G,2025-03-06 00:00:00,2025-02-26 00:00:00,2,2,21,4.6,15.5,,,,9.2,31,93-41053-10,,
2025-02-27 00:00:00,,E,93N125030201,93-P6000-6010,OM-156,2025-03-28 00:00:00,2025-02-17 00:00:00,49,49,27,7,15,,,,343,735,93-P6000-60,,
2025-02-27 00:00:00,,E,93E125020267,93-F0130-000E,GM-270/Everi,2025-03-11 00:00:00,2025-02-26 00:00:00,5,5,18,22,,,,,110,0,93-F0130-00,,
2025-02-27 00:00:00,,A,93E125020244,93-88002-400E,cPCIS-5080C,2025-03-05 00:00:00,2025-02-26 00:00:00,3,3,18,0,6,,,,0,18,93-88002-40,,
2025-02-27 00:00:00,,A,93N125030394,93-70431-0360,PXES-2785/CN,2025-03-31 00:00:00,2025-02-26 00:00:00,1,1,24,14,60,,,,14,60,93-70431-03,,
2025-02-27 00:00:00,,A,93E125020300,APC-NT078-0010,APC-NT078-0000,2025-03-06 00:00:00,2025-02-24 00:00:00,1,1,21,4,54,,,,4,54,APC-NT078-0,,
2025-02-27 00:00:00,,A,93E125030117,93-D2102-030E,MLC-M111,2025-05-26 00:00:00,2025-02-24 00:00:00,23,1,21,4.9,27.6,,,1+N,4.9,27.6,93-D2102-03,,
2025-02-27 00:00:00,,A,93E125010347,IPC-100N5-T009,IPC_RK410FS_PL,2025-03-06 00:00:00,2025-02-20 00:00:00,5,5,21,4,54,,,,20,270,IPC-100N5-T,,
2025-02-27 00:00:00,,E,93E125030029,93-F0116-100E,GM-270SG/KGI,2025-03-07 00:00:00,2025-02-27 00:00:00,90,50,18,22,,TP-ASSY,,,1100,0,93-F0116-10,,
2025-02-27 00:00:00,,A,93N125020060,93-F0074-0020,G42 Eagle PC/Data Modul,2025-03-20 00:00:00,2025-02-26 00:00:00,130,80,24,15,42,,,,1200,3360,93-F0074-00,,
2025-02-27 00:00:00,,E,93N125020116,93-P6000-5010,OM-121,2025-03-07 00:00:00,2025-02-26 00:00:00,30,30,27,7,15,,,,210,450,93-P6000-50,,
2025-02-27 00:00:00,,A,93E124090389,93-99780-831E,ADi-SA2X-CF-BABS/Aurify w/o GPU,2025-04-21 00:00:00,2025-02-21 00:00:00,1,1,18,0,39.6,,,,0,39.6,93-99780-83,,
2025-02-27 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-27 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-27 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2/27 (四)    加工4 主線14  (8280),,,,,,,,,,258,,,,8318.300000000001,當日總工時,3015.1,5045.200000000001,,-38.30000000000109,
,,,,,,,,,,,,,,,IPC,,,,,
,,,,,,,,,預計生產,,,,,,IDS,,,,,
,,,,,,,,,228,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-02-28 00:00:00,,D,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,E,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,E,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,E,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,E,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-02-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2/28  (五) 加工4 主線14  (8280)  ,,,,,,,,,,0,,,,0,當日總工時,0,0,,,
,,,,,,,,,,0,,,,0,IPC,0,0,,,
,,,,,,,,,預計生產,0,,,,0,IDS,0,0,,,
,,,,,,,,,228,,,,,,NOT ENOUGH,,,,,
