第52週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),
2024-12-23 00:00:00,,D,,,,,,,,,,,,,,0,0,
2024-12-23 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-23 00:00:00,投過,A,93E124120128,93-F0091-004E,Capsule Axon 2 – 1-port,2025-01-03 00:00:00,2024-12-13 00:00:00,240,60,18,0,9,,,1/3要入庫,0,540,93-F0091-00
2024-12-23 00:00:00,,A,93N125010200,AG-M9046-60110,M9046-60110,2024-12-31 00:00:00,2024-12-20 00:00:00,15,10,36,76,88,,,,760,880,AG-M9046-60
2024-12-23 00:00:00,投過,A,93N124120063,93-F0064-015C,"R4600-2A3,CC",2025-01-09 00:00:00,2024-12-18 00:00:00,10,9,27,5,65,,,85-65522-004C AN31*1,45,585,93-F0064-01
2024-12-23 00:00:00,,A,93N124110478,93-F0114-0120,Verint Edge NVR w/o PoE ports,2024-12-24 00:00:00,2024-12-20 00:00:00,244,64,18,0,32.95,,,,0,2108.8,93-F0114-01
2024-12-23 00:00:00,,A,93E124120057,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2024-12-27 00:00:00,2024-12-18 00:00:00,100,40,27,75.9,0,,,,3036,0,93-F0019-10
2024-12-23 00:00:00,,A,93E124120057,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2024-12-27 00:00:00,2024-12-18 00:00:00,100,15,,,126,,,,0,1890,93-F0019-10
2024-12-23 00:00:00,,A,,,,,,,,,,,,,,0,0,
2024-12-23 00:00:00,,A,,,,,,,,,,,,,,0,0,
12/23  (一)   加工4 主線13  (7820)  ,,,,,,,,,,126,,,,9970.8,當日總工時,3841,6003.8,
,,,,,,,,,,126,,,,9970.8,IPC,3841,6003.8,
