第3週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),
2025-01-13 00:00:00,,A,,,,,,,,,,,,,,0,0,
2025-01-13 00:00:00,,E,,,,,,,,,,,,,,0,0,
2025-01-13 00:00:00,投過,D,93E124120324,93-F0091-104E,Capsule Axon 2 – 4-port,2025-02-17 00:00:00,2024-12-19 00:00:00,10,1,18,0,9,,,下午上線,0,9,93-F0091-10
2025-01-13 00:00:00,投過,E,93E125010054,93-F0116-000E,GM-270S/KGI,2025-01-20 00:00:00,2025-01-02 00:00:00,156,11,,,34,TP-ASSY,,,0,374,93-F0116-00
2025-01-13 00:00:00,投過,E,93E125010055,93-F0116-000E,GM-270S/KGI,2025-01-20 00:00:00,2024-01-08 00:00:00,200,39,,,34,TP-ASSY,,,0,1326,93-F0116-00
2025-01-13 00:00:00,投過,E,93E125010055,93-F0116-000E,GM-270S/KGI,2025-01-20 00:00:00,2024-01-08 00:00:00,200,50,27,22,,TP-ASSY,,,1100,0,93-F0116-00
2025-01-13 00:00:00,投過,A,93E125010069,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-02-12 00:00:00,2025-01-10 00:00:00,400,50,21,11,25.6,,,,550,1280,93-F0093-40
2025-01-13 00:00:00,投過,D,93E125020138,93-D2302-A00E,MLC-M700,2025-01-21 00:00:00,2025-01-10 00:00:00,1,1,18,15,40,,,,15,40,93-D2302-A0
2025-01-13 00:00:00,投過,A,93N125010044,AG-M9505A-CFG002,M9505A-CFG002,2025-01-17 00:00:00,2025-01-06 00:00:00,9,9,18,13,60,,,,117,540,AG-M9505A-C
2025-01-13 00:00:00,投過,D,93N125010293,93-45108-0020,DLAP-411-Orin w/ PSE,2025-01-16 00:00:00,2025-01-10 00:00:00,1,1,21,3,20,,,,3,20,93-45108-00
2025-01-13 00:00:00,投過,A,93N125010296,AG-M9505A-CFG002,M9505A-CFG002,2025-01-17 00:00:00,2025-01-03 00:00:00,1,1,18,13,60,,,,13,60,AG-M9505A-C
2025-01-13 00:00:00,投過,A,93N125020048,93-F0074-0020,G42 Eagle PC/Data Modul,2025-01-21 00:00:00,2025-01-09 00:00:00,108,54,24,15,42,,,,810,2268,93-F0074-00
2025-01-13 00:00:00,投過,A,93N125010032,93-D1207-0050,WM200,2025-01-24 00:00:00,2025-01-10 00:00:00,192,48,24,12,36,,,,576,1728,93-D1207-00
2025-01-13 00:00:00,,A,,,,,,,,,,,,,,0,0,
2025-01-13 00:00:00,,A,,,,,,,,,,,,,,0,0,
2025-01-13 00:00:00,,A,,,,,,,,,,,,,,0,0,
2025-01-13 00:00:00,,A,,,,,,,,,,,,,,0,0,
2025-01-13 00:00:00,,A,,,,,,,,,,,,,,0,0,
1/13  (一)   加工4 主線15  (8740)  ,,,,,,,,,,189,,,,11018,當日總工時,3184,7645,
,,,,,,,,,,162,,,,8191,IPC,2084,5945,
,,,,,,,,,預計生產,27,,,,2827,IDS,1100,1700,
,,,,,,,,,265,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2025-01-14 00:00:00,,A,,,,,,,,,,,,,,0,0,
