第32週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
2025-08-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-04 00:00:00,投過,A,93N125070118,93-F0093-0030,Zoetis Vetscan HUB-US,2025-08-12 00:00:00,2025-07-23 00:00:00,450,50,21,25,35,,,,1250,1750,93-F0093-00,
2025-08-04 00:00:00,投過,A,93E125050204,93-98002-111E,ADi-SA3X-CL-EABF/AGS,2025-08-11 00:00:00,2025-07-25 00:00:00,172,22,27,12,25,,,,264,550,93-98002-11,
2025-08-04 00:00:00,未投過,A,93N125070346,93-F0107-0030,ADi-SMXE-211/Everi,2025-08-13 00:00:00,2025-08-04 00:00:00,100,99,21,5,30,,,,495,2970,93-F0107-00,
2025-08-04 00:00:00,投過,A,93E125080238,93-F0091-104E,Capsule Axon 2 – 4-port,2025-08-18 00:00:00,2025-07-23 00:00:00,540,120,,0,9,,,,0,1080,93-F0091-10,
2025-08-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
8/4  (一) 加工3 主線13  (7360) 測試支援1人 ,,,,,,,,,,69,,,,8428,當日總工時,2009,6350,,
,,,,,,,,,,69,,,,8428,IPC,2009,6350,,
,,,,,,,,,預計生產,0,,,,0,IDS,0,0,,
,,,,,,,,,291,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,投過,A,93N125080022,93-F0089-2020,EMP-300-CQ (6305E),2025-08-14 00:00:00,2025-08-04 00:00:00,125,50,21,7,21,,,,350,1050,93-F0089-20,
2025-08-05 00:00:00,未投過,A,93N125070469,93-45108-2A10,DLAP-411-Orin 64GB w/ 10GbE- Dubrulle,2025-08-11 00:00:00,2025-08-04 00:00:00,12,12,21,4,20,,,,48,240,93-45108-2A,
2025-08-05 00:00:00,,A,93E125070213,93-F0089-911E,EMP-510-i5-BD2,2025-08-08 00:00:00,2025-08-04 00:00:00,10,10,18,0,28,,,,0,280,93-F0089-91,
2025-08-05 00:00:00,投過,A,93E125080238,93-F0091-104E,Capsule Axon 2 – 4-port,2025-08-18 00:00:00,2025-07-23 00:00:00,540,120,,0,9,,,,0,1080,93-F0091-10,
2025-08-05 00:00:00,投過,A,93N125070118,93-F0093-0030,Zoetis Vetscan HUB-US,2025-08-12 00:00:00,2025-07-23 00:00:00,450,50,21,25,35,,,,1250,1750,93-F0093-00,
2025-08-05 00:00:00,未投過,A,93E125070266,93-DN000-010E,MLB-3100-i5-12500E/M16GB/512G/A1000,2025-08-14 00:00:00,2025-07-17 00:00:00,6,5,18,5,59.95,,,1+N,25,299.75,93-DN000-01,
2025-08-05 00:00:00,投過,A,93N125080035,93-41045-E840,Dell Embedded Gateway EGW-5200-0MXTMC,2025-08-14 00:00:00,2025-08-04 00:00:00,100,40,30,20.3,28.8,,,因32-60010-2200-A0 不良只夠投產*60,812,1152,93-41045-E8,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
8/5(二)  加工3 主線13  (7360) 測試支援1人 ,,,,,,,,,,0,,,,8336.75,當日總工時,2485,5851.75,,
,,,,,,,,,,0,,,,7096.75,IPC,1845,5251.75,,
,,,,,,,,,預計生產,0,,,,1240,IDS,640,600,,
,,,,,,,,,287,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-08-06 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-06 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-06 00:00:00,未投過,A,93E125010371,93-99B00-935E,I-AADP-128-BCM 4x10G,2025-08-11 00:00:00,2025-07-25 00:00:00,4,3,18,0,6,,,1+N,0,18,93-99B00-93,
2025-08-06 00:00:00,投過,A,93E125070293,93-41052-2B2E-10,MVP-5209/M64G/MS1T/2S2T/Win11P/230W/HAL,2025-08-15 00:00:00,2025-08-05 00:00:00,23,23,21,6.7,29,,,,154.1,667,93-41052-2B,
2025-08-06 00:00:00,投過,A,93N125080022,93-F0089-2020,EMP-300-CQ (6305E),2025-08-14 00:00:00,2025-08-04 00:00:00,125,50,21,7,21,,,,350,1050,93-F0089-20,
2025-08-06 00:00:00,,A,93E125060501,TPC-41052-0170,TPC-41052-0170 (MVP-5205T),2025-08-15 00:00:00,2025-08-05 00:00:00,3,3,18,0,30,,,,0,90,TPC-41052-0,
2025-08-06 00:00:00,,A,93N125070347,93-F0107-0030,ADi-SMXE-211/Everi,2025-08-15 00:00:00,2025-08-05 00:00:00,100,50,21,5,30,,,,250,1500,93-F0107-00,
2025-08-06 00:00:00,投過,A,93E125080238,93-F0091-104E,Capsule Axon 2 – 4-port,2025-08-18 00:00:00,2025-07-23 00:00:00,540,120,,0,9,,,,0,1080,93-F0091-10,
2025-08-06 00:00:00,投過,A,93N125060393,93-F0083-0020,MMI-CP-100,2025-08-12 00:00:00,2025-08-05 00:00:00,6,6,27,55,60,,,,330,360,93-F0083-00,
2025-08-06 00:00:00,,A,93E125060190,93-D2102-020E,"MLC-M109, Biomedica",2025-08-11 00:00:00,2025-08-05 00:00:00,6,6,21,4.9,27.6,,,,29.400000000000002,165.60000000000002,93-D2102-02,
2025-08-06 00:00:00,未投過,A,93E125080209,93-F0133-000E,ADM-Q55LX,2025-08-11 00:00:00,2025-08-05 00:00:00,24,24,18,0,28,,,,0,672,93-F0133-00,
2025-08-06 00:00:00,,A,93E125080179,93-F0133-100E,ADM-Q55TYM,2025-08-12 00:00:00,2025-08-05 00:00:00,22,1,18,0,28,,,1+N,0,28,93-F0133-10,
2025-08-06 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-06 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-06 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-06 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-06 00:00:00,,A,,,,,,,,,,,,,,0,0,,
8/6 (三) 加工3 主線13  (7360) 測試支援1人 ,,,,,,,,,,0,,,,6744.1,當日總工時,1113.5,5630.6,,10.537656250000001
,,,,,,,,,,0,,,,6104.1,IPC,473.5,5630.6,,
,,,,,,,,,預計生產,0,,,,640,IDS,640,0,,
,,,,,,,,,286,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,投過,A,93E125080238,93-F0091-104E,Capsule Axon 2 – 4-port,2025-08-18 00:00:00,2025-07-23 00:00:00,540,60,,0,9,,,,0,540,93-F0091-10,
2025-08-07 00:00:00,未投過,A,93E125080179,93-F0133-100E,ADM-Q55TYM,2025-08-12 00:00:00,2025-08-05 00:00:00,22,21,18,0,28,,,1+N,0,588,93-F0133-10,
2025-08-07 00:00:00,,A,93N125070347,93-F0107-0030,ADi-SMXE-211/Everi,2025-08-15 00:00:00,2025-08-05 00:00:00,100,50,21,5,30,,,,250,1500,93-F0107-00,
2025-08-07 00:00:00,投過,A,93N125080022,93-F0089-2020,EMP-300-CQ (6305E),2025-08-14 00:00:00,2025-08-04 00:00:00,125,25,21,7,21,,,,175,525,93-F0089-20,
2025-08-07 00:00:00,未投過,A,93E125070324,IPC-0030Y-0000,RK609W-C47H_I0000,2025-08-12 00:00:00,2025-08-07 00:00:00,3,3,21,4,54,,,,12,162,IPC-0030Y-0,
2025-08-07 00:00:00,投過,A,93E125080185,93-D2302-221E,MLC-M306,2025-08-13 00:00:00,2025-08-06 00:00:00,6,6,21,4.9,27.6,,,,29.400000000000002,165.60000000000002,93-D2302-22,
2025-08-07 00:00:00,未投過,A,93N125080132,93-P6000-2030,OM-101,2025-08-12 00:00:00,2025-08-06 00:00:00,10,10,27,5,12.5,,,,50,125,93-P6000-20,
2025-08-07 00:00:00,投過,A,93E125070024,93-G1500-001E,"EMP-520-Ultra 5,8GB,SSD 128GB,fTPM",2025-08-14 00:00:00,2025-08-06 00:00:00,13,13,24,9,22,,,,117,286,93-G1500-00,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-08-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
8/7 (四)     加工3 主線13  (7360) 測試支援1人 ,,,,,,,,,,153,,,,4678,當日總工時,633.4,3891.6,,7.309375
,,,,,,,,,,,,,,,IPC,,,,
,,,,,,,,,預計生產,,,,,,IDS,,,,
,,,,,,,,,188,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
