第24週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
2025-06-09 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-06-09 00:00:00,投過,A,93N125040572,AG-M9046-60110,M9046-60110,2025-06-12 00:00:00,2025-05-14 00:00:00,10,5,,,88,,,,0,440,AG-M9046-60,
2025-06-09 00:00:00,投過,E,93E125040334,93-P1500-221E,"SP2-10WP-IMX8-2GB,32GB,12-24V",2025-06-12 00:00:00,2025-06-06 00:00:00,15,15,18,0,18,,,,0,270,93-P1500-22,
2025-06-09 00:00:00,未投過,E,93E125020053,93-P6000-B50E,CTM-22W-M-PM,2025-06-12 00:00:00,2025-06-03 00:00:00,47,47,18,7,15,無生產紀錄++,,,329,705,93-P6000-B5,
2025-06-09 00:00:00,投過,A,93N125040609,93-F0114-0030,Verint Edge NVR w/24 ports,2025-06-30 00:00:00,2025-06-02 00:00:00,296,3,18,0,32.95,,,,0,98.85000000000001,93-F0114-00,
2025-06-09 00:00:00,投過,E,93N125060468,93-F0120-0020,GM-070/AGS,2025-06-13 00:00:00,2025-06-12 00:00:00,180,50,,,23,無塵室(TP貼合),,,0,1150,93-F0120-00,
2025-06-09 00:00:00,投過,E,93N125060468,93-F0120-0020,GM-070/AGS,2025-06-13 00:00:00,2025-06-12 00:00:00,180,50,18,17,,無塵室(TP貼合),,,850,0,93-F0120-00,
2025-06-09 00:00:00,投過,A,93E125060203,9B-D2101-0090,MLC8 Standard rear chassis,2025-06-19 00:00:00,2025-06-06 00:00:00,36,36,21,15,30,,,,540,1080,9B-D2101-00,
2025-06-09 00:00:00,投過,A,93E125050372,IPC-117N7-U004,RK620W-13E4-E47_IU004,2025-06-13 00:00:00,2025-06-06 00:00:00,1,1,21,4,54,,,,4,54,IPC-117N7-U,
2025-06-09 00:00:00,投過,E,93E125030376,93-P6000-G20E,CTM-24W-M-PM,2025-06-16 00:00:00,2025-05-27 00:00:00,1,1,18,9,18,無生產紀錄++,,1+N,9,18,93-P6000-G2,
2025-06-09 00:00:00,投過,A,93E125050202,93-98002-111E,ADi-SA3X-CL-EABF/AGS,2025-06-17 00:00:00,2025-06-11 00:00:00,112,36,27,12,25,,,,432,900,93-98002-11,
2025-06-09 00:00:00,投過,E,93E125050114,93-P1600-B00E,"SP2-21WP-MTL-125H,8GB,128GB,12V,IO",2025-06-18 00:00:00,00:00:00,2,1,18,7.5,15,,,1+N,7.5,15,93-P1600-B0,
2025-06-09 00:00:00,投過,A,93E125050370,IPC-117N7-U004,RK620W-13E4-E47_IU004,2025-06-18 00:00:00,2025-06-06 00:00:00,1,1,21,4,54,,,,4,54,IPC-117N7-U,
2025-06-09 00:00:00,投過,A,93N125060462,93-45103-0320,DLAP-211-Orin NX 8GB,2025-06-18 00:00:00,2025-06-06 00:00:00,1,1,21,5,20,,,,5,20,93-45103-03,
,投過,E,93N125040611,93-P6000-E020,OM-170,2025-06-23 00:00:00,2025-06-04 00:00:00,2,1,18,,,線外+組裝++,,1+N,0,0,93-P6000-E0,
2025-06-09 00:00:00,投過,A,93E125060406,T93-13010-0100056,T93-13010-0100056,2025-06-23 00:00:00,2025-06-02 00:00:00,1,1,21,4,54,,,,4,54,T93-13010-0,
