第31週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,,
2025-07-28 00:00:00,投過,A,93N125080034,93-41050-A250,Dell Embedded Gateway EGW-3200-0KR44F,2025-08-14 00:00:00,2025-07-24 00:00:00,140,75,18,0,39.1,,,,0,2932.5,93-41050-A2,,
2025-07-28 00:00:00,投過,A,93E125060318,93-41052-2A1E-10,MVP-5209RF/M128G/MS2T/S4T/W11P/230W/HAL,2025-08-06 00:00:00,2025-07-25 00:00:00,44,34,21,6.7,29,,,,227.8,986,93-41052-2A,,
2025-07-28 00:00:00,投過,A,93E125060320,93-41053-0A1E-10,MVP-6229RF/M128G/MS2T/S4T/W11P/230W/HAL,2025-08-05 00:00:00,2025-07-25 00:00:00,28,28,24,8,36,,,一早優先組裝務必趕7/30一定要入庫※至少先產出6台,224,1008,93-41053-0A,,
2025-07-28 00:00:00,未投過,A,93E125070166,93-99B00-318E,I-AADP-32,2025-08-07 00:00:00,2025-07-21 00:00:00,4,3,18,0,6,,,1+N,0,18,93-99B00-31,,
2025-07-28 00:00:00,未投過,A,93E125040341,93-99751-110E,FRONT PANEL ASSEMBLY II BT2 ADLINK/PROTO,2025-08-06 00:00:00,2025-07-22 00:00:00,23,1,18,0,15.2,,,1+N,0,15.2,93-99751-11,,
2025-07-28 00:00:00,未投過,A,93E125010371,93-99B00-935E,I-AADP-128-BCM 4x10G,2025-08-11 00:00:00,2025-07-25 00:00:00,4,1,18,0,,,,1+N,0,0,93-99B00-93,,
2025-07-28 00:00:00,未投過,A,93R125070145,93-41062-0010,MXE-310/315E/M8G,2025-08-18 00:00:00,2025-07-21 00:00:00,4,4,18,0,15.6,,,,0,62.4,93-41062-00,,
2025-07-28 00:00:00,未投過,A,93N125070466,93-45R03-1120,"ROScube-X, w/AD-GMSL2, RQX-59G",2025-08-15 00:00:00,2025-07-23 00:00:00,2,2,21,10,15,,,,20,30,93-45R03-11,,
2025-07-28 00:00:00,投過,A,93N125070118,93-F0093-0030,Zoetis Vetscan HUB-US,2025-08-12 00:00:00,2025-07-23 00:00:00,450,50,21,25,35,,,,1250,1750,93-F0093-00,,
2025-07-28 00:00:00,投過,E,93N125070243,93-P7000-B310,IM-215H,2025-08-01 00:00:00,2025-07-28 00:00:00,10,10,24,50,,TP-ASSY,,,500,0,93-P7000-B3,,
2025-07-28 00:00:00,未投過,A,93E125070296,IPC-0030Y-0000,RK609W-C47H_I0000,2025-07-31 00:00:00,2025-07-25 00:00:00,3,3,21,4,54,,,,12,162,IPC-0030Y-0,,
2025-07-28 00:00:00,,A,93E125060444,IPC-1170M-0008,RK620W-M45H_I0008,2025-07-31 00:00:00,2025-07-25 00:00:00,6,6,21,4,54,,,,24,324,IPC-1170M-0,,
7/28  (一) 加工3 主線12  (6900) 測試支援1人  7/21~8/2組裝返菲*1 ,,,,,,,,,,243,,,,9788.9,當日總工時,2257.8,7288.099999999999,,,
,,,,,,,,,,219,,,,9264.9,IPC,1757.8000000000002,7288.099999999999,,,
,,,,,,,,,預計生產,24,,,,524,IDS,500,0,,,
,,,,,,,,,217,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-07-29 00:00:00,投過,A,93R125070167,93-51049-0010,EOS-JNX-I,,,6,6,,,5,,,,0,30,93-51049-00,,
