第22週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,,
2025-05-26 00:00:00,投過,A,93E125060030,93-F0067-202E,Seatex ISP2020,2025-06-05 00:00:00,2025-05-23 00:00:00,62,40,,8,53,,,,320,2120,93-F0067-20,,
2025-05-26 00:00:00,投過,A,93N125060332,93-45103-1320,DLAP-211-Orin Nano 8GB,2025-06-05 00:00:00,2025-05-23 00:00:00,5,1,21,5,20,,,1+N,5,20,93-45103-13,,
2025-05-26 00:00:00,投過,A,93E125050276,93-99780-850E,ADi-SA2X-CF-BABS/Aurify w/o GPU/16GB,2025-06-04 00:00:00,2025-05-19 00:00:00,113,30,18,0,39.6,,,,0,1188,93-99780-85,,
2025-05-26 00:00:00,投過,A,93N125030266,AG-M9046-60110,M9046-60110,2025-06-03 00:00:00,2025-05-13 00:00:00,10,10,36,76,88,,,,760,880,AG-M9046-60,,
2025-05-26 00:00:00,投過,A,93N125060141,93-70428-0060,PXES-2590,2025-06-19 00:00:00,2025-05-19 00:00:00,10,10,21,20,55,,,,200,550,93-70428-00,,
2025-05-26 00:00:00,投過,A,93N125040161,AG-M9505A-CFG002,M9505A-CFG002,2025-06-17 00:00:00,2025-05-14 00:00:00,30,10,,13,60,,,,130,600,AG-M9505A-C,,
2025-05-26 00:00:00,投過,A,93N125030521,93-45108-1020,DLAP-411-Orin,2025-06-30 00:00:00,2025-05-23 00:00:00,4,4,21,4,20,,,,16,80,93-45108-10,,
2025-05-26 00:00:00,投過,A,93N125050324,93-41052-7A30,MVP-5205E-EVERI-160W,2025-06-09 00:00:00,2025-05-23 00:00:00,129,60,21,4.3,26,,,,258,1560,93-41052-7A,,
2025-05-26 00:00:00,10,A,,,,,,,,,,,,,,0,0,,,
5/26 (一) 加工3 主線12.5  (9920)  新人+0.5人 ,,,,,,,,,,138,,,,8825,當日總工時,1689,6998,,,
,,,,,,,,,,138,,,,8825,IPC,1689,6998,,,
,,,,,,,,,預計生產,0,,,,0,IDS,0,0,,,
,,,,,,,,,165,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-05-27 00:00:00,投過,A,93E125060030,93-F0067-202E,Seatex ISP2020,2025-06-05 00:00:00,2025-05-23 00:00:00,62,10,,8,53,,,,80,530,93-F0067-20,,
2025-05-27 00:00:00,投過,A,93R125050043,93-41052-4040-10,MVP-5207/M32G,2025-06-24 00:00:00,2025-05-14 00:00:00,4,4,21,,26,,,,0,104,93-41052-40,,5/26延到5/27
,投過,A,93E125030114,93-F0016-00HE,Redflex CCU NK6 HALO Computer,2025-07-15 00:00:00,2025-06-10 00:00:00,50,1,,,30,,,,0,30,93-F0016-00,,
2025-05-27 00:00:00,,A,93E125050398,T93-13008-0200036,T93-13008-0200036,2025-06-04 00:00:00,2025-05-23 00:00:00,1,1,21,4,54,,,,4,54,T93-13008-0,,
2025-05-27 00:00:00,,E,93N125020027,93-P1400-2010,"SP2-10WP-EHL-J6412,4GB, w/ IO, 12V",2025-06-03 00:00:00,2025-05-23 00:00:00,10,10,27,6.5,12.5,線外+組裝++,,,65,125,93-P1400-20,,
2025-05-27 00:00:00,,A,93N125050324,93-41052-7A30,MVP-5205E-EVERI-160W,2025-06-09 00:00:00,2025-05-23 00:00:00,129,69,21,4.3,26,,,,296.7,1794,93-41052-7A,,
2025-05-27 00:00:00,投過,A,93E125050276,93-99780-850E,ADi-SA2X-CF-BABS/Aurify w/o GPU/16GB,2025-06-04 00:00:00,2025-05-19 00:00:00,113,13,18,0,39.6,,,,0,514.8000000000001,93-99780-85,,
2025-05-27 00:00:00,,E,93E125070082,93-P6000-640E,CTM-15W-M-PM,2025-06-25 00:00:00,2025-05-14 00:00:00,2,2,,5,12.5,無生產紀錄++,,,10,25,93-P6000-64,,
2025-05-27 00:00:00,,E,93E125050326,93-P6000-230E,CTM-10W-M-PM,2025-06-04 00:00:00,2025-05-14 00:00:00,2,2,18,5,12.5,無生產紀錄++,,1+N,10,25,93-P6000-23,,
2025-05-27 00:00:00,投過,A,93N125040570,AG-M9046-60110,M9046-60110,2025-06-04 00:00:00,2025-05-13 00:00:00,10,10,36,76,88,,,,760,880,AG-M9046-60,,
2025-05-27 00:00:00,投過,A,93N125060107,93-41045-E840,Dell Embedded Gateway EGW-5200-0MXTMC,2025-06-02 00:00:00,2025-05-26 00:00:00,53,53,30,20.3,28.8,,,,1075.9,1526.4,93-41045-E8,,
2025-05-27 00:00:00,投過,A,93N125040161,AG-M9505A-CFG002,M9505A-CFG002,2025-06-17 00:00:00,2025-05-14 00:00:00,30,10,18,13,60,,,,130,600,AG-M9505A-C,,
2025-05-27 00:00:00,,E,93R125060007,93-P6000-2110,"OM-101 W/adapter,HDMI,USB Cable,Clip",2025-06-02 00:00:00,2025-05-22 00:00:00,1,1,27,0,5,,,,0,5,93-P6000-21,,
2025-05-27 00:00:00,,E,93R125050027,93-P2200-6B10,STC2-15WP-i3-KL,2025-06-02 00:00:00,2025-05-21 00:00:00,1,1,,,15,,,,0,15,93-P2200-6B,,
5/27 (二)加工3 主線12.5  (9920)  新人+0.5人 ,,,,,,,,,,237,,,,8896.800000000001,當日總工時,2431.6000000000004,6228.200000000001,,,
,,,,,,,,,,165,,,,8544.800000000001,IPC,2346.6000000000004,6033.200000000001,,,
,,,,,,,,,預計生產,72,,,,352,IDS,85,195,,,
,,,,,,,,,187,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-05-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-05-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-05-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-05-28 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
