Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,日期,2024-12-30 00:00:00,Unnamed: 24,2024-12-31 00:00:00,Unnamed: 26,2025-01-01 00:00:00,Unnamed: 28,2025-01-02 00:00:00,Unnamed: 30,2025-01-03 00:00:00,Unnamed: 32,2025-01-04 00:00:00,Unnamed: 34,2025-01-05 00:00:00,Unnamed: 36,2025-01-06 00:00:00,Unnamed: 38,2025-01-07 00:00:00,Unnamed: 40,2025-01-08 00:00:00,Unnamed: 42,2025-01-09 00:00:00,Unnamed: 44,2025-01-10 00:00:00,Unnamed: 46,2025-01-11 00:00:00,Unnamed: 48,2025-01-12 00:00:00,Unnamed: 50,2025-01-13 00:00:00,Unnamed: 52,2025-01-14 00:00:00,Unnamed: 54,2025-01-15 00:00:00,Unnamed: 56,2025-01-16 00:00:00,Unnamed: 58,2025-01-17 00:00:00,Unnamed: 60,2025-01-18 00:00:00,Unnamed: 62,2025-01-19 00:00:00,Unnamed: 64,2025-01-20 00:00:00,Unnamed: 66,2025-01-21 00:00:00,Unnamed: 68,2025-01-22 00:00:00,Unnamed: 70,2025-01-23 00:00:00,Unnamed: 72,2025-01-24 00:00:00,Unnamed: 74,2025-01-25 00:00:00,Unnamed: 76,2025-01-26 00:00:00,Unnamed: 78,2025-01-27 00:00:00,Unnamed: 80,2025-01-28 00:00:00,Unnamed: 82,2025-01-29 00:00:00,Unnamed: 84,2025-01-30 00:00:00,Unnamed: 86,2025-01-31 00:00:00,Unnamed: 88,2025-02-01 00:00:00,Unnamed: 90,2025-02-02 00:00:00,Unnamed: 92,2025-02-03 00:00:00,Unnamed: 94,2025-02-04 00:00:00,Unnamed: 96,2025-02-05 00:00:00,Unnamed: 98,2025-02-06 00:00:00,Unnamed: 100,2025-02-07 00:00:00,Unnamed: 102,2025-02-08 00:00:00,Unnamed: 104,2025-02-09 00:00:00,Unnamed: 106,2025-02-10 00:00:00,Unnamed: 108,2025-02-11 00:00:00,Unnamed: 110,2025-02-12 00:00:00,Unnamed: 112,2025-02-13 00:00:00,Unnamed: 114,2025-02-14 00:00:00,Unnamed: 116,2025-02-15 00:00:00,Unnamed: 118,2025-02-16 00:00:00,Unnamed: 120,2025-02-17 00:00:00,Unnamed: 122,2025-02-18 00:00:00,Unnamed: 124,2025-02-19 00:00:00,Unnamed: 126,2025-02-20 00:00:00,Unnamed: 128,2025-02-21 00:00:00,Unnamed: 130,2025-02-22 00:00:00,Unnamed: 132,2025-02-23 00:00:00,Unnamed: 134,2025-02-24 00:00:00,Unnamed: 136,2025-02-25 00:00:00,Unnamed: 138,2025-02-26 00:00:00,Unnamed: 140,2025-02-27 00:00:00,Unnamed: 142,2025-02-28 00:00:00,Unnamed: 144,2025-03-01 00:00:00,Unnamed: 146,2025-03-03 00:00:00,Unnamed: 148,2025-03-04 00:00:00,Unnamed: 150,2025-03-05 00:00:00,Unnamed: 152,2025-03-06 00:00:00,Unnamed: 154,2025-03-07 00:00:00,Unnamed: 156,2025-03-08 00:00:00,Unnamed: 158
,,,,,,,SAP上線日,,,,,,,,,,,,,,,星期,45656,,45657,,45658,,45659,,45660,,45661,,45662,,45663,,45664,,45665,,45666,,45667,,45668,,45669,,45670,,45671,,45672,,45673,,45674,,45675,,45676,,45677,,45678,,45679,,45680,,45681,,45682,,45683,,45684,,45685,,45686,,45687,,45688,,45689,,45690,,45691,,45692,,45693,,45694,,45695,,45696,,45697,,45698,,45699,,45700,,45701,,45702,,45703,,45704,,45705,,45706,,45707,,45708,,45709,,45710,,45711,,45712,,45713,,45714,,45715,,45716,,45717,,45719,,45720,,45721,,45722,,45723,,45724,
開單日,線別,製程,工單號,品號,品名,MO數量,領料需求日,上線日,完工日,料齊日,重工完工數量,實際產出,備註,板卡來源,PE驗證,這筆製程單機工時,這筆生產所用工時,測具數量,加班時數,重要訂單,綠色通道,頂階完工,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時
,下拉式選項,下拉式選項,ZPPR004,ZPPR004,ZPPR004,ZPPR004,ZPPR004,人工手動,ZPPR004,ZPPR004,人工手動,ZPPR004,人工手動,人工手動,人工手動,PSOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,91R125020110,91-41809-0080,NuPRO-E43,226,2025-02-25 00:00:00,2/25~3/3,2025-03-04 00:00:00,2025-02-25 00:00:00,,,"(A),(1) ECP-Pinky,依重工作業指導書作業",,,10,,,,,,,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,65,650,65,650,65,650,,0,,0,31,310,,0,,0,,0,,0,,0
,,一般重工,59R125020113,59-41809-00A0,NuPRO-E43,8,2025-02-27 00:00:00,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-02-25 00:00:00,,,"(A),(1) ECP-HC, 依重工指導書重工",,,10,,,,,,,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,10,100,,0,,0,,0,,0,,0
,,一般重工,55R125030018,55-73301-201E,COM-HPC-cRLS-i7-13700E,5,2025-02-27 00:00:00,2025-03-03 00:00:00,2025-03-05 00:00:00,2025-02-25 00:00:00,,,"(A),(5) COM-Cindy,依重工指導書重工",,,10,,,,,,,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,50,,0,,0,,0,,0,,0
,,BGA,55R125020070,55-44A00-0010,MXA-200 iMX8MP DDR4L 2GB with Debian,2,2025-02-18 00:00:00,2025-02-25 00:00:00,板卡領AN77,2025-02-14 00:00:00,,,"(B*1),(9) ECP-Tanya, RD驗證EOL 替代件, 料件由BU供料, 板卡BU入庫AN77(預留單:0004630535-0001), 完工後入庫AN77 BU領走",,,60,,,,,,,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,2,120,,0,,,,0,,0,,0,2,120,,0,,,,,,0
,,BGA,55R125020071,55-79425-001E,AST26000-RunBMC,2,2025-02-18 00:00:00,2025-02-20 00:00:00,板卡領AN77,2025-02-19 00:00:00,,,"(B*1),(9) COM-Jessie,依重工指導書重工,重工完成後入AN77",,,60,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,0,1,60,1,60,,0,,,,,,,,,,0,,,,,,,,,,0,,0,,,,,,,,
,,BGA,59R125020087,59-72517-1510,LEC-iMX8MM-Q-2G-32G-ER/TA,2,2025-02-19 00:00:00,2025-02-20 00:00:00,板卡領AN77,2025-02-18 00:00:00,,,"(B*1)(8)TPMC生產異常,更換位置U400零件 71-00086-09Z0*2PCS",,,60,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,0,,0,,0,2,120,,,,,,,,,,0,,,,,,,,,,0,,0,,,,,,,,
,,BGA,59R125020079,59-37581-3010,DB-3SSD/B/NTPM,1,2025-02-20 00:00:00,2025-02-25 00:00:00,,2025-02-18 00:00:00,,,"(B*1),(3)ADLINK,掃貨驗證,WI_25021300064,Component Verification,品號:76-053F8-30R0,位置: U302",,,60,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,1,60,,,,,,,,,,0,1,60,,,,,,,,
