Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
單別,單號,品號,品名,預計產量,已領套數,已生產量,報廢數量,預計開工,預計完工,實際開工,實際完工,狀態碼,確認碼ZREL,訂單,規格,描述,工單備註,已刪除,急單註記,專案代碼,MRP控制員,生產主管
55E1-,55E121040001,55-71116-520E,ETX-BT-N2930-8GSM/Topex,4,0,0,0,20210201,20210513,,,REL PRC SETC DLID MANC,,0,(*)(EA)Rev:B1,ETX module with Intel Celeron N2930 at 1.83 GHz and 8GB SLC Mode SSD,"SRR-011898,#8585,RBU:EMEA,customer name:Topex,221-2021020553-0001",X,,,P02,SMT
55E1-,55E121040004,55-65014-502E,ESM002 Shmm700,15,0,0,0,20210503,20211118,,,REL PRC SETC DLFL MANC,,0,(*)(EA),Embedded system module 002 for AXIe project with Shmm700,"SRR-011796,2021/4/30-->2021/3/26,Keysight-PX; 缺料owner : Alex(55E2-2021030069)",,,03-1.M9505A-CFG002.Keysight-PX,P06,SMT
55E1-,55E121050001,55-65320-002E,cPCI-A3525/9850,5,0,5,0,20210428,20210511,20210507,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,(EA)A1,cPCI-A3525/9850,"SRR-010940,#8573,RBU:EMEA,Customer name:GOMA,221-2020060407-0001(55E1-2020100177)",,,,P01,SMT
55E1-,55E121050002,55-65021-002E,RT ARM iMX8M MB,40,0,40,44,20210428,20210507,20210505,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,(*)(EA)A1,Cortex-A53Memory on board 2GB,"DEV-0037034, 不備PCB,SRR-011712,#8907,RBU:NCP/TW,Customer name:Retronix(55E1-2021030040)",,,,P01,SMT
55E1-,55E121050003,55-37550-005E,SEMI-MF PMC-8670CS2,19,0,19,0,20210414,20210512,20210510,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,(EA)Rev:,PMC debug card for cPCI-6910.,"SRR-011844,#8573,RBU:Taiwan,Customer name:中科院(55E1-2021040049)",,,,P01,SMT
55E1-,55E121050004,55-72129-440E,Express-BD7-D1539/YT,120,0,120,0,20210423,20210604,20210529,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,(*)(EA)REV:A3,"Basic COM Express Type7 module with Intel Broadwell-DE D1539, 8C with custom BIOS","DEV-0037756,SRR-011903,#8585,RBU:China,customer name:嬴?,221-2021020531-0006(55E1-2021040083)",,,,P02,SMT
55E1-,55E121050005,55-A3031-004E,HDBaseT VS2310RX Board,6,0,6,0,20210427,20210510,20210505,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,(EA)HDBaseT VS2310RX Board,HDBaseT VS2310RX BoardRx function of HDBaseT with VS2310RX,"SRR-011673,#8723,RBU:EMEA,Customer name:ATG-DEG,挪自55E1-2021030042(45-->39)(55E1-2021040091)",,,,P02,SMT
55E1-,55E121050006,55-A3033-100E,PW-200 for MMI-CP-100,20,0,0,0,20210423,20210504,,,REL PRC SETC DLID MANC,,0,(*)(EA),16.8-137.5V power board,"SRR-011901,#8907,RBU:NCP,customer name:AATI(55E1-2021050013)",X,,,P01,SMT
55E1-,55E121050007,55-72135-310E,Express-CFR-E-2276ME/PXIe-3988,30,0,30,0,20210427,20210529,20210528,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,(*)(EA)Rev:A1,"Express-CFR-E-2276ME Basic size type 6 COM Express module with 9th Intel Core i7-9850HL hexa core processor at 1.9/4.1GHz with QM370 chipset, 3 SO-DIMM, for PXIe-3988","SRR-011989,#8585,RBU:N/A,customer name:N/A,挪自59N3-2021040013(10->0)(55E1-2021050040)",,,,P02,SMT
